asof,regime,vintage_year,base_mos,mos_bucket,bucket_return_low_12m,bucket_return_high_12m,expected_12m_return_from_bucket,forward_6m_return,forward_12m_return,forward_12m_return_clipped,bucket_abs_error_12m,interval_hit_12m,direction_hit_6m,direction_hit_12m
2023-09-30,unknown,2023,0.016337295529837,0%..20%,0.0,0.2,0.1,0.28455984767044495,0.3747854978649996,0.3747854978649996,0.2747854978649996,False,True,True
2023-12-31,bull,2023,-0.455333061147407,<-20%,-1.0,-0.2,-0.25,0.034316419059094994,0.18587300607128276,0.18587300607128276,0.43587300607128276,False,False,False
2024-03-31,bull,2024,40.834418225321386,>=20%,0.2,1.0,0.25,-0.015825911606820342,0.06694129225383794,0.06694129225383794,0.18305870774616206,False,False,True
2024-06-30,bear,2024,0.354838629377495,>=20%,0.2,1.0,0.25,0.11788708098615386,0.1057175949872402,0.1057175949872402,0.1442824050127598,False,True,True
2024-09-30,bull,2024,-0.3469482177197745,<-20%,-1.0,-0.2,-0.25,0.04930943920892217,0.10740139065650944,0.10740139065650944,0.35740139065650944,False,False,False
2024-12-31,bull,2024,-0.4497004551662594,<-20%,-1.0,-0.2,-0.25,-0.043010528925486735,0.12095539419127244,0.12095539419127244,0.37095539419127244,False,True,False
2025-03-31,bull,2025,-0.3473341189309016,<-20%,-1.0,-0.2,-0.25,0.013106365508559925,,,,,False,
2025-06-30,bear,2025,1.1086617306966635,>=20%,0.2,1.0,0.25,0.1585909284481244,,,,,True,
2025-09-30,bull,2025,-0.5280470897710491,<-20%,-1.0,-0.2,-0.25,,,,,,,
2025-12-31,bull,2025,-0.296921062830115,<-20%,-1.0,-0.2,-0.25,,,,,,,
