asof,wacc_shift_bps,terminal_g_shift_bps,fair_value_hkd_per_share
2026-02-19,-100.0,-100.0,603.6021185295616
2026-02-19,-100.0,0.0,711.2461369096185
2026-02-19,-100.0,100.0,884.9338091291297
2026-02-19,-50.0,-100.0,550.0493908671374
2026-02-19,-50.0,0.0,635.5908305555795
2026-02-19,-50.0,100.0,766.6356517689392
2026-02-19,0.0,-100.0,505.10033362389095
2026-02-19,0.0,0.0,574.366949944741
2026-02-19,0.0,100.0,676.1547544842037
2026-02-19,50.0,-100.0,466.8444406306096
2026-02-19,50.0,0.0,523.8148772838439
2026-02-19,50.0,100.0,604.7235591782998
2026-02-19,100.0,-100.0,433.89757628925264
2026-02-19,100.0,0.0,481.3762342542777
2026-02-19,100.0,100.0,546.908355722694
